school_name,school_rank,school_address
北京经贸职业学院,1498,北京市
北京网络职业学院,1416,北京市
北京联合大学,211,北京市
北京舞蹈学院,1144,北京市
北京航空航天大学,10,北京市
北京艺术传媒职业学院,581,北京市
北京警察学院,1196,北京市
北京语言大学,1670,北京市
北京财贸职业学院,1367,北京市
北京邮电大学,48,北京市
北京邮电大学世纪学院,985,北京市
北京金融科技学院,1105,北京市
北京青年政治学院,1426,北京市
北华大学,210,吉林省
北华航天工业学院,276,河北省
北方工业大学,144,北京市
华东交通大学,131,江西省
华东师范大学,24,上海市
华东政法大学,1373,上海市
华东理工大学,32,上海市
华中农业大学,35,湖北省
华中师范大学,45,湖北省
华中科技大学,8,湖北省
华侨大学,120,福建省
华北水利水电大学,179,河南省
华北理工大学,203,河北省
华北理工大学冀唐学院,528,河北省
华北理工大学轻工学院,1102,河北省
华北电力大学,55,北京市
华北科技学院,349,河北省
南京中医药大学,1171,江苏省
南京中医药大学翰林学院,1491,江苏省
南京交通职业技术学院,736,江苏省
南京传媒学院,1448,江苏省
南京体育学院,785,江苏省
南京信息工程大学,74,江苏省
南京信息职业技术学院,749,江苏省
南京农业大学,37,江苏省
南京医科大学,473,江苏省
南京医科大学康达学院,1383,江苏省
南京城市职业学院,422,江苏省
南京大学,6,江苏省
南京大学金陵学院,958,江苏省
南京审计大学,1685,江苏省
南京审计大学金审学院,570,江苏省
南京工业大学,67,江苏省
南京工业大学浦江学院,945,江苏省
南京工业职业技术大学,373,江苏省
南京工程学院,187,江苏省
南京师范大学,39,江苏省
南京师范大学中北学院,1132,江苏省
南京师范大学泰州学院,1568,江苏省
南京旅游职业学院,812,江苏省
南京晓庄学院,251,江苏省
南京机电职业技术学院,1078,江苏省
南京林业大学,69,江苏省
南京特殊教育师范学院,341,江苏省
南京理工大学,27,江苏省
南京理工大学泰州科技学院,1796,江苏省
南京理工大学紫金学院,597,江苏省
南京科技职业学院,1641,江苏省
南京航空航天大学,26,江苏省
南京航空航天大学金城学院,1719,江苏省
南京艺术学院,1162,江苏省
南京视觉艺术职业学院,1379,江苏省
南京警察学院,988,江苏省
南京财经大学,1215,江苏省
南京财经大学红山学院,1040,江苏省
南京邮电大学,64,江苏省
南京邮电大学通达学院,1579,江苏省
南京铁道职业技术学院,995,江苏省
南开大学,18,天津市
南开大学滨海学院,1493,天津市
南昌交通学院,1111,江西省
南昌健康职业技术学院,1077,江西省
南昌医学院,1749,江西省
南昌大学,53,江西省
南昌大学共青学院,899,江西省
南昌大学科学技术学院,798,江西省
南昌工学院,783,江西省
南昌师范学院,318,江西省
南昌应用技术师范学院,876,江西省
南昌影视传播职业学院,1407,江西省
南昌理工学院,1262,江西省
南昌职业大学,905,江西省
南昌航空大学,134,江西省
南昌航空大学科技学院,1636,江西省
南通卫生健康职业学院,955,江苏省
南通大学,116,江苏省
南通大学杏林学院,412,江苏省
南通师范高等专科学校,1074,江苏省
南通理工学院,1616,江苏省
南通科技职业学院,1214,江苏省
南通职业大学,1589,江苏省
南阳农业职业学院,1509,河南省
南阳医学高等专科学校,829,河南省
南阳工艺美术职业学院,1030,河南省
南阳师范学院,274,河南省
南阳理工学院,281,河南省
南阳科技职业学院,841,河南省
南阳职业学院,1440,河南省
厦门东海职业技术学院,956,福建省
厦门兴才职业技术学院,1059,福建省
厦门医学院,500,福建省
厦门华厦学院,563,福建省
厦门华天涉外职业技术学院,718,福建省
厦门南洋职业学院,1370,福建省
厦门城市职业学院,1795,福建省
厦门大学,20,福建省
厦门大学嘉庚学院,660,福建省
厦门安防科技职业学院,1459,福建省
厦门工学院,1745,福建省
厦门海洋职业技术学院,398,福建省
厦门演艺职业学院,1581,福建省
厦门理工学院,197,福建省
厦门软件职业技术学院,1211,福建省
台州学院,221,浙江省
台州科技职业学院,620,浙江省
台州职业技术学院,748,浙江省
合肥信息技术职业学院,1046,安徽省
合肥共达职业技术学院,1715,安徽省
合肥城市学院,1672,安徽省
合肥大学,209,安徽省
合肥工业大学,62,安徽省
合肥师范学院,261,安徽省
合肥幼儿师范高等专科学校,1549,安徽省
合肥理工学院,1139,安徽省
合肥科技职业学院,709,安徽省
合肥经济学院,665,安徽省
合肥职业技术学院,1658,安徽省
合肥通用职业技术学院,1446,安徽省
吉安幼儿师范高等专科学校,1554,江西省
吉安职业技术学院,1726,江西省
吉林交通职业技术学院,594,吉林省
吉林体育学院,869,吉林省
吉林农业大学,128,吉林省
吉林农业科技学院,320,吉林省
吉林动画学院,1146,吉林省
吉林化工大学,1481,吉林省
吉林医药学院,1080,吉林省
吉林司法警官职业学院,438,吉林省
吉林城市职业技术学院,1087,吉林省
吉林外国语大学,1505,吉林省
吉林大学,21,吉林省
吉林工业职业技术学院,888,吉林省
吉林工商学院,1316,吉林省
吉林工程技术师范学院,367,吉林省
吉林工程职业学院,1801,吉林省
吉林师范大学,224,吉林省
吉林师范大学博达学院,1237,吉林省
吉林建筑大学,240,吉林省
吉林建筑科技学院,1052,吉林省
吉林水利电力职业学院,604,吉林省
吉林电子信息职业技术学院,777,吉林省
吉林科技职业技术学院,1338,吉林省
吉林职业技术学院,535,吉林省
吉林艺术学院,1333,吉林省
吉林警察学院,702,吉林省
